address,lat,long,cluster_label
"Sea Avenue, Singapore",1.3052879217907352,103.90726606637637,5
"Serangoon Road, Singapore",1.3076686457926867,103.85257590696553,1
"Lorong L Telok Kurau, Singapore",1.311177572380366,103.90814210470214,1
"Pari Dedap Walk, Singapore",1.331680334742925,103.94236113078146,2
"Eu Tong Sen Street, Singapore",1.2832682674948137,103.84242871839474,-1
"Jalan Merlimau, Singapore",1.323151713187613,103.84084111331676,1
"Miltonia Close, Singapore",1.4181189009602655,103.8470725377325,0
"Whampoa East, Singapore",1.3210495153250208,103.86458935725696,-1
"Draycott Drive, Singapore",1.309896332195547,103.83141263588932,2
"Lengkong Empat, Singapore",1.328190833290765,103.91283929453414,0
"Jalan Lempeng, Singapore",1.3190165984217854,103.7603041491234,2
"Joo Chiat Road, Singapore",1.3097131621434073,103.9021731103309,1
"Jalan Datoh, Singapore",1.3280635345087728,103.84298991606914,5
"Ang Mo Kio Central , Singapore",1.3622800000000552,103.85459000000009,2
"Jalan Sultan, Singapore",1.302964557067423,103.8614472984165,5
"Amber Gardens, Singapore",1.3014981016424338,103.89952606901215,4
"Claymore Hill, Singapore",1.3075411360078826,103.83148513578476,5
"Koon Seng Road, Singapore",1.3118849069555971,103.9040640749018,1
"Pasir Ris Street , Singapore",1.375848795407001,103.93697351078626,-1
"Mohamed Sultan Road, Singapore",1.2921329935541137,103.84076847416932,4
"Marymount Terrace, Singapore",1.3502588290293327,103.84021589199884,-1
"Swiss View, Singapore",1.3470183052900355,103.78980909870158,0
"Flora Road, Singapore",1.3599076529292755,103.96510102133747,0
"Jalan Jintan, Singapore",1.3057669910163483,103.8344213384364,-1
"Cuscaden Walk, Singapore",1.304047056554312,103.82912151545388,-1
"Chancery Lane, Singapore",1.3205374262592773,103.83695025342124,2
"Faber Walk, Singapore",1.3214676171172632,103.75429194149082,2
"Loyang Avenue, Singapore",1.3853681097439667,103.97839541117412,-1
"Queensway, Singapore",1.296480569313264,103.79981538852024,5
"Jalan Masjid, Singapore",1.3198504511995075,103.91240316023848,2
"Saint Michael, Singapore",1.3255347085259197,103.86431864567916,3
"Anderson Road, Singapore",1.3123550080932709,103.82858411349608,-1
"Holland Hill, Singapore",1.310120451677861,103.80071108961424,2
"Jalan Rajawali, Singapore",1.3432511334121189,103.76804651952872,0
"Saint Patrick, Singapore",1.3085684578706145,103.91507302405134,4
"Akyab Road, Singapore",1.3229177569113408,103.848110741989,2
"Still Road, Singapore",1.3131996693449717,103.90675671754708,2
"Tampines Central , Singapore",1.3504800000000614,103.93626000000006,2
