pk,category,subid,main_category
84,Noodle House,4bf58dd8d48988d1d1941735,Food
84,Chinese Restaurant,4bf58dd8d48988d145941735,Food
84,Scenic Lookout,4bf58dd8d48988d165941735,Outdoors & Recreation
84,Thai Restaurant,4bf58dd8d48988d149941735,Food
84,Ice Cream Shop,4bf58dd8d48988d1c9941735,Food
84,Korean Restaurant,4bf58dd8d48988d113941735,Food
84,Pet Store,4bf58dd8d48988d100951735,Shop & Service
84,Multiplex,4bf58dd8d48988d180941735,Arts & Entertainment
84,Juice Bar,4bf58dd8d48988d112941735,Food
84,Asian Restaurant,4bf58dd8d48988d142941735,Food
84,Café,4bf58dd8d48988d16d941735,Food
84,Bookstore,4bf58dd8d48988d114951735,Shop & Service
84,Supermarket,52f2ab2ebcbc57f1066b8b46,Shop & Service
84,Dumpling Restaurant,4bf58dd8d48988d108941735,Food
84,Park,4bf58dd8d48988d163941735,Outdoors & Recreation
84,Cosmetics Shop,4bf58dd8d48988d10c951735,Shop & Service
85,Tea Room,4bf58dd8d48988d1dc931735,Food
85,Hotel,4bf58dd8d48988d1fa931735,Not A Match
85,Hotpot Restaurant,52af0bd33cf9994f4e043bdd,Food
85,Pool,4bf58dd8d48988d15e941735,Outdoors & Recreation
85,Shoe Store,4bf58dd8d48988d107951735,Shop & Service
85,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
85,Shopping Mall,4bf58dd8d48988d1fd941735,Shop & Service
85,Cosmetics Shop,4bf58dd8d48988d10c951735,Shop & Service
85,Spa,4bf58dd8d48988d1ed941735,Shop & Service
85,Beer Garden,4bf58dd8d48988d117941735,Nightlife Spot
85,Paper / Office Supplies Store,4bf58dd8d48988d121951735,Shop & Service
85,Coffee Shop,4bf58dd8d48988d1e0931735,Food
85,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
85,Hainan Restaurant,52af3abe3cf9994f4e043bf2,Food
85,Bar,4bf58dd8d48988d116941735,Nightlife Spot
85,Electronics Store,4bf58dd8d48988d122951735,Shop & Service
85,Cocktail Bar,4bf58dd8d48988d11e941735,Nightlife Spot
85,Pizza Place,4bf58dd8d48988d1ca941735,Food
85,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
85,Grocery Store,4bf58dd8d48988d118951735,Shop & Service
85,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
85,Hotel,4bf58dd8d48988d1fa931735,Not A Match
85,Shopping Mall,4bf58dd8d48988d1fd941735,Shop & Service
85,Lounge,4bf58dd8d48988d121941735,Nightlife Spot
85,Hotel,4bf58dd8d48988d1fa931735,Not A Match
85,Dumpling Restaurant,4bf58dd8d48988d108941735,Food
85,Hotel,4bf58dd8d48988d1fa931735,Not A Match
85,Bakery,4bf58dd8d48988d16a941735,Food
85,Sushi Restaurant,4bf58dd8d48988d1d2941735,Food
85,Japanese Restaurant,4bf58dd8d48988d111941735,Food
86,Indian Restaurant,4bf58dd8d48988d10f941735,Food
86,Café,4bf58dd8d48988d16d941735,Food
86,Food Court,4bf58dd8d48988d120951735,Food
86,Noodle House,4bf58dd8d48988d1d1941735,Food
86,BBQ Joint,4bf58dd8d48988d1df931735,Food
86,Asian Restaurant,4bf58dd8d48988d142941735,Food
86,Japanese Restaurant,4bf58dd8d48988d111941735,Food
86,Noodle House,4bf58dd8d48988d1d1941735,Food
86,Hong Kong Restaurant,52af3add3cf9994f4e043bf5,Food
86,Shopping Mall,4bf58dd8d48988d1fd941735,Shop & Service
86,Malay Restaurant,4bf58dd8d48988d156941735,Food
86,Asian Restaurant,4bf58dd8d48988d142941735,Food
86,Wine Bar,4bf58dd8d48988d123941735,Nightlife Spot
